group3,nic_div,workers_m
241,24,0.0090766175
241,25,0.012045655
241,26,0.01997936625
241,27,0.016119685
241,28,0.0251153225
241,29,0.014268
241,30,0.0029283699999999996
241,31,0.0014435499999999998
241,32,0.0074319975
241,35,0.01151109625
241,41,0.00673803125
241,42,0.00611540375
241,43,0.009738938749999999
241,45,0.04300897875
241,46,0.22409209125
241,47,0.12580862125
241,49,0.022174480000000003
241,50,0.0033961725
241,52,0.047222129999999994
241,53,0.010180608749999999
241,55,0.016981403750000002
241,56,0.01978778375
241,58,0.0008716475
241,59,0.00474681375
241,60,0.0021392125
241,61,0.00207504125
241,62,0.08491799374999999
241,63,0.013604837500000001
241,64,0.419904955
241,65,0.0206794075
241,66,0.09060466125
241,68,0.016632458750000002
241,69,0.33919718875
241,70,0.000036453749999999996
241,72,0.00196705125
241,73,0.00219142
241,74,0.007515632499999999
241,78,0.011938145
241,79,0.007846338750000001
241,82,0.02248620375
241,84,0.081166085
241,85,0.0463404775
241,86,0.03753555125
241,88,0.02126426125
241,92,0.0056740225
241,94,0.001371815
241,95,0.0005123325
241,96,0.00344288375
242,8,0.00112816125
242,13,0.003661705
242,14,0.00426871875
242,16,0.00227168
242,17,0.0027066225
242,18,0.00285258125
242,20,0.005338274999999999
242,21,0.0106274075
242,22,0.00270161
242,23,0.013829938750000001
242,24,0.00098978625
242,26,0.0010712262499999999
242,28,0.0060952875
242,29,0.0008678125
242,32,0.00407204875
242,35,0.016750377499999997
242,36,0.0020860725
242,37,0.0019805975
242,42,0.012606126249999999
242,45,0.0014213512499999998
242,46,0.00575159
242,47,0.01297932125
242,49,0.0044261025
242,50,0.0024613212499999997
242,52,0.015231499999999999
242,56,0.0050157225
242,59,0.0099040375
242,62,0.07176469375
242,63,0.00508459375
242,64,0.017087412500000003
242,66,0.012440827500000001
242,69,0.00116856
242,70,0.0042427775
242,72,0.0003079625
242,78,0.0608906275
242,79,0.0019176562499999999
242,82,0.024895487499999997
242,84,0.03519428875
242,85,0.0407337625
242,86,0.0332990475
242,94,0.0019322287499999998
243,1,0.000034738750000000003
243,10,0.025315986250000002
243,13,0.00266687375
243,15,0.00048604624999999994
243,16,0.0009441525
243,17,0.0015514175
243,18,0.00519486
243,19,0.00303413625
243,20,0.017274968749999998
243,21,0.0858761775
243,22,0.011690025
243,23,0.00338988625
243,25,0.00211065
243,26,0.009890995
243,27,0.00796435125
243,28,0.005227046249999999
243,29,0.001451
243,32,0.0027427725
243,35,0.0057541962499999995
243,42,0.00289926875
243,45,0.030193013749999997
243,46,0.26146870625
243,47,0.08730787
243,52,0.0122579
243,56,0.0011547237500000001
243,58,0.009418667499999998
243,60,0.00556530875
243,61,0.010528667499999998
243,62,0.018822451249999997
243,63,0.00524891375
243,64,0.08919345249999999
243,65,0.01593333
243,66,0.01350143125
243,68,0.0076408924999999996
243,70,0.01637381
243,72,0.00100526
243,73,0.0506202825
243,74,0.0047388225
243,79,0.00224563
243,82,0.0096606025
243,84,0.00598110875
243,85,0.0225632325
243,86,0.010982868750000001
243,90,0.00360593375
243,96,0.00126243625
251,20,0.00180773875
251,21,0.0001554675
251,26,0.0037921162499999998
251,29,0.00399321625
251,43,0.00001203
251,46,0.00625666
251,52,0.00439038125
251,55,0.00522224375
251,58,0.09236784125
251,60,0.0007791975
251,61,0.00188970125
